,Ticker,Latest_price,sector,industry,marketCap,trailing_PE_ratio,pegRatio,enterpriseValue,ebitda,ebitdaMargins,profitMargins,revenueGrowth,freeCashflow,operatingCashflow,returnOnAssets,returnOnEquity,enterpriseToRevenue,enterpriseToEbitda,priceToBook,beta,forwardEps,currentRatio,quickRatio,debtToEquity,sharesOutstanding,earningsGrowth,fiveYearAvgDividendYield
67,RLGY,19.07,Real Estate,Real Estate Services,2223333120.0,7.248194,0.2,5052634624.0,865000000.0,0.109519996,0.03976,0.145,742499968.0,819000000.0,0.05802,0.16628,0.64,5.841,1.0472268,2.532073,2.59,1.148,0.962,174.812,116588000.0,0.131,
68,SBH,18.17,Consumer Cyclical,Specialty Retail,2039291776.0,8.652381,0.24,3691492096.0,534015008.0,0.13626,0.064169995,0.047,229935376.0,337188992.0,0.0926,1.3241,0.942,6.913,7.2854853,1.448035,2.73,2.076,0.534,691.385,112234000.0,0.2,
69,VSTO,35.44,Consumer Cyclical,Leisure,2030573696.0,5.486917,1.7,3003117568.0,550758976.0,0.21080999,0.14857,0.353,132824496.0,252728992.0,0.17581,0.51423,1.149,5.453,2.1714356,0.398884,6.88,3.271,1.748,62.592,57296100.0,0.761,
70,DAC,95.07,Industrials,Marine Shipping,1958128256.0,2.109994,1.61,2775339776.0,394718016.0,0.66439,1.56541,0.647,-340207872.0,375787008.0,0.05881,0.63648,4.671,7.031,1.0184253,1.547532,22.41,1.465,0.256,71.968,20596700.0,5.098,
71,VRTS,252.43,Financial Services,Asset Management,1915378176.0,10.051365,0.25,1805474176.0,334683008.0,0.37834,0.22790001,0.628,240541872.0,577843008.0,0.05105,0.30187,2.041,5.395,2.3579688,1.515458,41.6,3.682,3.679,27.996,7587760.0,0.984,1.72
72,BKE,37.16,Consumer Cyclical,Apparel Retail,1849951104.0,7.748123,1.06,1851141760.0,329647008.0,0.26746,0.19188999,0.273,262520128.0,322145984.0,0.20514,0.48855,1.502,5.616,3.4589965,0.921038,4.53,2.499,2.03,55.738,49783400.0,0.482,4.41
73,STC,65.62,Financial Services,Insurance—Property & Casualty,1764574336.0,5.9643703,1.53,1677214848.0,437276000.0,0.14193,0.09653,0.405,-173322368.0,392262016.0,0.121879995,0.28944,0.544,3.836,1.4608194,1.111505,7.63,3.527,3.413,33.233,26890800.0,0.475,2.79
74,IRWD,10.72,Healthcare,Drug Manufacturers—Specialty & Generic,1754328064.0,3.3025262,0.13,1815475200.0,241942000.0,0.58539003,1.28302,0.003,160772128.0,248840000.0,0.19212,1.8103,4.393,7.504,3.0205693,1.201038,1.34,4.773,4.64,81.065,163650000.0,0.619,
75,USNA,89.95,Consumer Defensive,Household & Personal Products,1750597888.0,13.734921,1.12,1538803968.0,183197328.0,0.15441,0.09819,-0.139,,,0.17457001,0.27846,1.297,8.4,4.428199,0.853804,5.78,2.271,1.492,,19461900.0,-0.446,
76,FRTA,23.62,Industrials,Building Products & Equipment,1581902336.0,14.589253,0.09,2687717632.0,279420992.0,0.15809,0.064,0.151,41678124.0,116280000.0,0.06978,0.49043,1.521,9.619,5.423651,2.253421,2.07,2.009,1.169,381.666,66973000.0,0.214,
